AssetID	AssetType	Type	Id	Depth	Name	DependencyType
6196	LP_REG_AU-FY22-PS16764-1_T1-A_Awareness_ProductVideo_Live-Q&A	Email	8399	minimal	EM_IN_AU-FY22-PS16764-1_T1-A_Awareness_Less-Waste-More-Innovation-QA	NA
6196	LP_REG_AU-FY22-PS16764-1_T1-A_Awareness_ProductVideo_Live-Q&A	Campaign	400121	minimal	MC_AU-FY22-PS16764-1_Webinar_Less-Waste-More-Innovation-Reminders	NA
6196	LP_REG_AU-FY22-PS16764-1_T1-A_Awareness_ProductVideo_Live-Q&A	Campaign	400547	minimal	MC_AU-FY22-PS16764-1_Webinar_Less-Waste-More-Innovation-Portal-EDM	NA
6204	LP_WWHQ-FY21-GSB16446-1_ContactUs_DE_DE_TY_1543	NA	NA	NA	NA	NA
6206	LP_WWHQ-FY21-GSB16446-1_ContactUs_IL_HE_TY_1543	NA	NA	NA	NA	NA
6211	LP_MKT_US-FY21-PS16552-6_T1-A_Awareness_ProductVideo_Version-A - DO NOT USE	NA	NA	NA	NA	NA
6213	LP_MKT_US-FY21-PS16552-6_T1-A_Awareness_ProductVideo_Version-C	NA	NA	NA	NA	NA
6217	LP_REG_US-FY21-GSB16662-14_T1___Awareness_Article_GSB-us-en-PageWideXL	NA	NA	NA	NA	NA
6219	[TEST] Presence-X Verbiage	NA	NA	NA	NA	NA
6224	LP_REG_IN-FY21-PS16543-2_T1___Awareness_Product_WFHServices-wfa-infographic	NA	NA	NA	NA	NA
6229	test_Laur_Tavi	NA	NA	NA	NA	NA
6341	LP_REG_EMEA-FY20-3D9902-7_T1___Awareness_Article_IL-DESIGN-INCONTRA-LA	NA	NA	NA	NA	NA
6344	LP_REG_AU-FY22-PS16764-1_T1-A_Awareness_ProductVideo_Less-Waste-More-Innovation-R3	NA	NA	NA	NA	NA
6345	LP_REG_AU-FY22-PS16764-1_T1-A_Awareness_ProductVideo_Less-Waste-More-Innovation-R4	NA	NA	NA	NA	NA
6346	LP_REG_AU-FY22-PS16764-1_T1-A_Awareness_ProductVideo_Less-Waste-More-Innovation-R5	NA	NA	NA	NA	NA
6386	LP_REG_WWHQ-FY21-GSB16432-37_T1___Consideration_Article_1991-VB-WhiteInk-eBook-fr-fr	NA	NA	NA	NA	NA
6390	LP_REG_WWHQ-FY21-GSB16432-37_T1___Consideration_Article_1991-VB-WhiteInk-eBook-de-de	NA	NA	NA	NA	NA
6392	LP_REG_WWHQ-FY21-GSB16432-37_T1___Consideration_Article_1991-VB-WhiteInk-eBook-ch-de	NA	NA	NA	NA	NA
6393	LP_REG_WWHQ-FY21-GSB16432-37_T1___Consideration_Article_1991-VB-WhiteInk-eBook-ca-fr	NA	NA	NA	NA	NA
6394	LP_REG_WWHQ-FY21-GSB16432-37_T1___Consideration_Article_1991-VB-WhiteInk-eBook-mx-es	NA	NA	NA	NA	NA
6395	LP_REG_WWHQ-FY21-GSB16432-37_T1___Consideration_Article_1991-VB-3reasons-WhiteInk-eBook-es-es	NA	NA	NA	NA	NA
6396	LP_REG_GAHQ-FY21-PRINT16491-2_T1-A_Awareness_Product_Science-Printing-Webinar	Email	8139	minimal	EM_IN_GAHQ-FY21-PRINT16491-2_T1-A_Awareness_Invite-SOPL	NA
